127.0.0.1 - - [13/Apr/2022:14:18:42 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:18:47 +0900] "GET /board/work/accboard.jsp HTTP/1.1" 200 3833
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:18:47 +0900] "GET /board/js/board.js HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:18:48 +0900] "POST /board/List.do HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:20:58 +0900] "POST /board/ReplyInsert.do HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:20:59 +0900] "GET /board/ReplyList.do?bonum=19 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:27:06 +0900] "GET /board/work/accboard.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:27:06 +0900] "GET /board/js/board.js HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:27:06 +0900] "POST /board/List.do HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:27:30 +0900] "POST /board/ReplyInsert.do HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:27:31 +0900] "GET /board/ReplyList.do?bonum=20 HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:37 +0900] "GET /board/work/accboard.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:37 +0900] "GET /board/js/board.js HTTP/1.1" 200 5226
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:38 +0900] "GET /board/work/accboard.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:38 +0900] "GET /board/js/board.js HTTP/1.1" 200 5226
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:38 +0900] "POST /board/List.do HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:39 +0900] "GET /board/work/accboard.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:39 +0900] "GET /board/js/board.js HTTP/1.1" 200 5226
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:39 +0900] "POST /board/List.do HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:40 +0900] "GET /board/work/accboard.jsp HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:40 +0900] "GET /board/js/board.js HTTP/1.1" 200 5226
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:40 +0900] "POST /board/List.do HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:45 +0900] "POST /board/ReplyInsert.do HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [13/Apr/2022:14:28:46 +0900] "GET /board/ReplyList.do?bonum=20 HTTP/1.1" 200 702
